"_id"	count	nbPR
google/guava	8	5
iluwatar/java-design-patterns	8	5
phoenixnap/springmvc-raml-plugin	8	1
aerogear/aerogear-unifiedpush-server	8	3
oVirt/ovirt-engine	8	0
speedment/speedment	8	0
jmxtrans/jmxtrans	8	6
JSQLParser/JSqlParser	8	8
atomix/copycat	8	8
SpongePowered/SpongeAPI	8	6
protegeproject/webprotege	8	0
eclipse/vorto	8	5
jmrozanec/cron-utils	8	6
ReactiveX/RxJava	8	5
wro4j/wro4j	8	3
kongchen/swagger-maven-plugin	7	6
datacleaner/DataCleaner	7	4
Netflix/Hystrix	7	2
karussell/snacktory	7	5
ModeShape/modeshape	7	4
ButterFaces/ButterFaces	7	0
weld/core	7	7
SpigotMC/BungeeCord	7	7
jhy/jsoup	7	3
getsentry/raven-java	7	3
javers/javers	7	0
apache/commons-io	7	2
pac4j/pac4j	7	4
apache/syncope	7	0
OpenTSDB/opentsdb	7	2
jenkinsci/performance-plugin	7	7
TridentSDK/TridentSDK	7	0
jnr/jnr-ffi	7	7
jdereg/java-util	6	0
apache/httpcore	6	0
apache/struts	6	6
Asqatasun/Asqatasun	6	1
docker-java/docker-java	6	5
undera/jmeter-plugins	6	3
socketio/socket.io-client-java	6	0
adamfisk/LittleProxy	6	6
ingwarsw/arquillian-suite-extension	6	0
yammer/tenacity	6	0
AlmasB/FXGL	6	0
andsel/moquette	6	6
graphaware/neo4j-framework	6	0
apache/commons-collections	6	2
tananaev/traccar	6	4
proofpoint/platform	6	2
rcarz/jira-client	6	0
elasticjob/elastic-job-lite	5	0
perfectsense/dari	5	5
flyway/flyway	5	1
oblac/jodd	5	0
cincheo/jsweet	5	0
rest-assured/rest-assured	5	5
yegor256/takes	5	1
owlcs/owlapi	5	2
zalando/logbook	5	4
Wikidata/Wikidata-Toolkit	5	3
togglz/togglz	5	3
openmicroscopy/bioformats	5	5
arquillian/arquillian-cube	5	5
SciGraph/SciGraph	5	4
stagemonitor/stagemonitor	5	2
apache/opennlp	5	4
jdillon/mvnsh	5	2
frohoff/ysoserial	5	3
x-stream/xstream	5	1
enioka/jqm	5	0
indeedeng/proctor	5	2
IDPF/epubcheck	5	5
apache/commons-compress	5	5
rickfast/consul-client	4	1
OrbitzWorldwide/consul-client	4	4
sstrickx/yahoofinance-api	4	4
LiveRamp/hank	4	1
Multiverse/Multiverse-Core	4	0
mockito/mockito	4	3
btraceio/btrace	4	1
qos-ch/logback	4	4
BrynCooke/cdi-unit	4	4
knightliao/disconf	4	4
pholser/junit-quickcheck	4	0
fabric8io/docker-maven-plugin	4	4
apereo/java-cas-client	4	0
go-ive/steam-api	4	0
galenframework/galen	4	1
ninjaframework/ninja	4	3
cpesch/RouteConverter	4	0
apache/commons-csv	4	2
kermitt2/grobid	4	0
rhuss/jolokia	4	2
smoketurner/dropwizard-consul	4	2
google/error-prone	4	4
liquibase/liquibase	4	4
doanduyhai/Achilles	4	2
puniverse/quasar	4	0
kaitoy/pcap4j	4	4
spring-projects/spring-security	4	0
RoaringBitmap/RoaringBitmap	3	3
sialcasa/mvvmFX	3	2
arquillian/arquillian-graphene	3	1
socketio/engine.io-client-java	3	2
jenkinsci/jacoco-plugin	3	2
spring-projects/spring-amqp	3	3
square/javapoet	3	3
qiniu/java-sdk	3	2
mybatis/mybatis-3	3	3
spring-projects/spring-restdocs	3	1
damianszczepanik/cucumber-reporting	3	2
mybatis/spring	3	3
codecentric/spring-boot-admin	3	2
sismics/reader	3	0
numenta/htm.java	3	3
otros-systems/otroslogviewer	3	0
addthis/stream-lib	3	3
FasterXML/woodstox	3	0
apache/commons-net	3	3
square/keywhiz	3	1
OWASP/java-html-sanitizer	3	2
FasterXML/jackson-datatype-joda	3	2
DataSketches/sketches-core	3	1
jpos/jPOS	3	1
apache/commons-imaging	3	3
junit-team/junit4	3	3
FasterXML/jackson-core	3	0
floodlight/floodlight	3	3
apache/metamodel	3	2
aws/aws-dynamodb-session-tomcat	2	2
